,Dates,Time,Open,High,Low,Close,Volume,Average,BarCount
0,2013-11-04,00:00:00,176.21,176.91,176.0,176.81,653478,176.527,172449
1,2013-11-05,00:00:00,176.66,176.75,175.57,176.37,743503,176.275,224818
2,2013-11-06,00:00:00,176.75,177.5,176.41,176.82,768845,177.02,216625
3,2013-11-07,00:00:00,176.93,177.95,174.76,175.25,1501226,175.952,391957
4,2013-11-08,00:00:00,175.45,177.31,174.15,177.19,1251518,176.194,350245
5,2013-11-11,00:00:00,176.94,177.53,176.91,177.36,625551,177.27,168262
6,2013-11-12,00:00:00,177.12,177.36,176.37,177.1,755477,176.876,223102
7,2013-11-13,00:00:00,176.8,178.82,175.96,178.8,944370,177.441,242242
8,2013-11-14,00:00:00,178.78,179.42,178.25,179.25,898852,178.97,253451
9,2013-11-15,00:00:00,179.4,180.12,179.15,179.9,824209,179.723,200582
10,2013-11-18,00:00:00,179.75,180.5,179.02,179.49,967516,179.782,245723
11,2013-11-19,00:00:00,179.22,179.87,178.72,178.95,845174,179.248,253953
12,2013-11-20,00:00:00,179.1,179.93,177.98,178.51,1104735,178.949,330995
13,2013-11-21,00:00:00,178.47,180.05,178.34,180.0,846386,179.582,207246
14,2013-11-22,00:00:00,180.01,180.83,179.75,180.58,706219,180.422,181285
15,2013-11-25,00:00:00,180.97,181.7,180.37,180.83,693987,180.811,179022
16,2013-11-26,00:00:00,180.87,181.22,180.41,180.74,733330,180.851,185589
17,2013-11-27,00:00:00,180.72,181.24,180.65,181.08,520227,181.023,149598
18,2013-11-29,00:00:00,181.25,181.75,180.8,181.0,511596,181.309,116945
19,2013-12-02,00:00:00,180.89,181.43,180.25,180.65,874717,180.845,210918
20,2013-12-03,00:00:00,180.66,180.66,179.17,179.82,980963,179.835,257237
21,2013-12-04,00:00:00,179.99,180.48,178.35,179.76,1169308,179.587,318517
22,2013-12-05,00:00:00,179.8,179.98,178.77,179.15,955479,179.18,262472
23,2013-12-06,00:00:00,179.47,181.23,178.99,181.17,1076121,180.644,276580
24,2013-12-09,00:00:00,181.24,181.67,180.95,181.55,622327,181.392,210387
25,2013-12-10,00:00:00,181.56,181.63,180.64,181.29,767747,180.958,218107
26,2013-12-11,00:00:00,180.87,181.37,178.5,178.74,1205238,179.42,357009
27,2013-12-12,00:00:00,178.8,178.95,177.76,178.04,1109817,178.377,328852
28,2013-12-13,00:00:00,178.66,178.85,177.77,177.97,977455,178.186,262412
29,2013-12-16,00:00:00,177.83,179.81,177.04,179.01,853823,179.313,241241
30,2013-12-17,00:00:00,179.11,179.46,178.25,178.74,757919,178.737,240765
31,2013-12-18,00:00:00,178.71,181.84,177.32,181.52,2057348,179.865,587333
32,2013-12-19,00:00:00,181.54,181.77,180.71,181.56,1094821,181.336,324638
33,2013-12-20,00:00:00,180.68,182.0,180.51,181.85,1466263,181.494,335540
34,2013-12-23,00:00:00,182.27,182.64,181.47,182.31,618026,182.404,195436
35,2013-12-24,00:00:00,182.53,183.45,182.38,183.35,369918,182.819,106345
36,2013-12-26,00:00:00,183.3,183.96,183.24,183.66,539154,183.677,175046
